tickers,avg_sentiment,tweet_count
HDFCAMC.NSE,0.4215,1
HDFCBANK.NSE,0.2848812324929972,357
HDFCLIFE.NSE,0.21075,2
HERITGFOOD.NSE,0.936,1
HEROMOTOCO.NSE,0.2003,1
HGINFRA.NSE,0.0,1
HINDALCO.NSE,0.2869,1
HINDPETRO.NSE,-0.3595,1
HINDUNILVR.NSE,0.20274315789473685,95
HINDZINC.NSE,0.765,1
HOMEFIRST.NSE,0.4215,1
ICICIBANK.NSE,0.21665593705293276,699
ICICIGI.NSE,0.765,1
IDBI.NSE,-0.1673,2
IDEA.NSE,0.5798266666666667,15
IDFC.NSE,0.6623666666666667,3
IDFCFIRSTB.NSE,0.30615,4
IEX.NSE,0.3417,2
IGL.NSE,0.7891,1
INDHOTEL.NSE,0.005066666666666664,6
INDIACEM.NSE,0.0,1
INDIAMART.NSE,0.1779,1
INDIAVIX.NSE,0.03570000000000001,2
INDIGO.NSE,-0.28595,2
INDIGOPNTS.NSE,0.4404,1
INDOCO.NSE,0.0,1
INDUSINDBK.NSE,0.6024833333333334,6
INEOSSTYRO.NSE,0.0,1
INFY.NSE,0.17987820512820513,702
INFY.NSEand,0.3182,1
INOXWIND.NSE,0.0,1
IOC.NSE,0.25536,5
IPCALAB.NSE,0.0,2
IRCTC.NSE,0.5155166666666667,6
IRFC.NSE,0.14307499999999998,4
ISEC.NSE,0.7096,1
ITC.NSE,0.28378028846153847,208
IWEL.NSE,0.0,1
JBMA.NSE,0.6249,1
JSWSTEEL.NSE,0.4677,3
JUBLFOOD.NSE,0.1448,2
JUBLINGREA.NSE,0.0,1
KALPATPOWR.NSE,0.2877,2
KALYANKJIL.NSE,0.0,1
KCP.NSE,0.2023,1
KDDL.NSE,0.0,1
KIRLOSBROS.NSE,0.2695,1
KIRLOSENG.NSE,0.5562,1
KOTAKBANK.NSE,0.2963,17
KPITTECH.NSE,0.39336666666666664,6
KPRMILL.NSE,-0.508,1
KRBL.NSE,-0.5994,1
KRISHANA.NSE,0.2997,2
KSCL.NSE,0.0,1
LALPATHLAB.NSE,0.0,1
LATENTVIEW.NSE,0.0,1
LAURUSLABS.NSE,0.4158,2
